prname,pruid,reporting_year,reporting_week,date,numtests_weekly,percentpositivity_weekly,update
Saskatchewan,47,2023,17,2023-04-29,1839,8.8,1
Manitoba,46,2023,17,2023-04-29,1325,10.4,1
Ontario,35,2023,17,2023-04-29,9083,7.8,1
Quebec,24,2023,17,2023-04-29,15412,9.3,1
Newfoundland and Labrador,10,2023,17,2023-04-29,482,9.5,1
New Brunswick,13,2023,17,2023-04-29,704,11.9,1
Nova Scotia,12,2023,17,2023-04-29,1342,15.6,1
Prince Edward Island,11,2023,17,2023-04-29,172,14.5,1
Yukon,60,2023,17,2023-04-29,42,7.1,1
Northwest Territories,61,2023,17,2023-04-29,18,0,1
Nunavut,62,2023,17,2023-04-29,112,1.8,1
Canada,1,2023,17,2023-04-29,38159,10.1,
British Columbia,59,2023,18,2023-05-06,3123,15.6,1
Alberta,48,2023,18,2023-05-06,3751,9.5,1
Saskatchewan,47,2023,18,2023-05-06,1664,8.5,1
Manitoba,46,2023,18,2023-05-06,1350,13,1
Ontario,35,2023,18,2023-05-06,8229,8.5,1
Quebec,24,2023,18,2023-05-06,14528,8.5,1
Newfoundland and Labrador,10,2023,18,2023-05-06,459,13.1,1
New Brunswick,13,2023,18,2023-05-06,712,11.9,1
Nova Scotia,12,2023,18,2023-05-06,1425,16.8,1
Prince Edward Island,11,2023,18,2023-05-06,147,12.9,1
Yukon,60,2023,18,2023-05-06,48,6.2,1
Northwest Territories,61,2023,18,2023-05-06,19,10.5,1
Nunavut,62,2023,18,2023-05-06,134,1.5,1
Canada,1,2023,18,2023-05-06,35589,9.8,
British Columbia,59,2023,19,2023-05-13,2794,13.9,1
Alberta,48,2023,19,2023-05-13,2874,9.3,1
Saskatchewan,47,2023,19,2023-05-13,1633,7.8,1
Manitoba,46,2023,19,2023-05-13,1226,10.7,1
Ontario,35,2023,19,2023-05-13,7456,8.6,1
Quebec,24,2023,19,2023-05-13,12900,8.3,1
Newfoundland and Labrador,10,2023,19,2023-05-13,421,12.8,1
New Brunswick,13,2023,19,2023-05-13,666,12.6,1
Nova Scotia,12,2023,19,2023-05-13,1370,18.5,1
Prince Edward Island,11,2023,19,2023-05-13,100,9,1
Yukon,60,2023,19,2023-05-13,36,2.8,1
Northwest Territories,61,2023,19,2023-05-13,18,0,1
Nunavut,62,2023,19,2023-05-13,136,2.2,1
Canada,1,2023,19,2023-05-13,31630,9.6,
British Columbia,59,2023,20,2023-05-20,2498,13.5,1
Alberta,48,2023,20,2023-05-20,3222,7.8,1
Saskatchewan,47,2023,20,2023-05-20,1507,6.2,1
Manitoba,46,2023,20,2023-05-20,1104,9.2,1
Ontario,35,2023,20,2023-05-20,6935,8.5,1
Quebec,24,2023,20,2023-05-20,11881,8.5,1
Newfoundland and Labrador,10,2023,20,2023-05-20,392,9.2,1
New Brunswick,13,2023,20,2023-05-20,615,13.8,1
Nova Scotia,12,2023,20,2023-05-20,1352,19.2,1
Prince Edward Island,11,2023,20,2023-05-20,104,3.8,1
Yukon,60,2023,20,2023-05-20,60,6.7,1
Northwest Territories,61,2023,20,2023-05-20,14,7.1,1
Nunavut,62,2023,20,2023-05-20,82,4.9,1
Canada,1,2023,20,2023-05-20,29766,9.3,
British Columbia,59,2023,21,2023-05-27,2481,11.1,1
Alberta,48,2023,21,2023-05-27,3096,7.9,1
Saskatchewan,47,2023,21,2023-05-27,1398,5.3,1
Manitoba,46,2023,21,2023-05-27,1083,9.3,1
Ontario,35,2023,21,2023-05-27,6566,9.2,1
Quebec,24,2023,21,2023-05-27,10167,8.7,1
Newfoundland and Labrador,10,2023,21,2023-05-27,399,9.8,1
New Brunswick,13,2023,21,2023-05-27,657,12.2,1
Nova Scotia,12,2023,21,2023-05-27,1175,17,1
Prince Edward Island,11,2023,21,2023-05-27,80,8.8,1
Yukon,60,2023,21,2023-05-27,57,12.3,1
Northwest Territories,61,2023,21,2023-05-27,15,20,1
Nunavut,62,2023,21,2023-05-27,121,1.7,1
Canada,1,2023,21,2023-05-27,27295,9.2,
British Columbia,59,2023,22,2023-06-03,2286,10.1,1
Alberta,48,2023,22,2023-06-03,3109,6.9,1
Saskatchewan,47,2023,22,2023-06-03,1224,2.9,1
Manitoba,46,2023,22,2023-06-03,1035,7.3,1
Ontario,35,2023,22,2023-06-03,6854,8.6,1
Quebec,24,2023,22,2023-06-03,9841,8.6,1
Newfoundland and Labrador,10,2023,22,2023-06-03,383,9.4,1
New Brunswick,13,2023,22,2023-06-03,649,10,1
Nova Scotia,12,2023,22,2023-06-03,1042,14.4,1
Prince Edward Island,11,2023,22,2023-06-03,69,13,1
Yukon,60,2023,22,2023-06-03,31,0,1
Northwest Territories,61,2023,22,2023-06-03,29,0,1
Nunavut,62,2023,22,2023-06-03,130,0,1
Canada,1,2023,22,2023-06-03,26682,8.5,
British Columbia,59,2023,23,2023-06-10,2171,8.9,1
Alberta,48,2023,23,2023-06-10,2950,4.6,1
Saskatchewan,47,2023,23,2023-06-10,1213,3.1,1
Manitoba,46,2023,23,2023-06-10,915,7.9,1
Ontario,35,2023,23,2023-06-10,5647,6.3,1
Quebec,24,2023,23,2023-06-10,9116,7.4,1
Newfoundland and Labrador,10,2023,23,2023-06-10,370,16.2,1
New Brunswick,13,2023,23,2023-06-10,629,10.3,1
Nova Scotia,12,2023,23,2023-06-10,1176,17.7,1
Prince Edward Island,11,2023,23,2023-06-10,99,12.1,1
Yukon,60,2023,23,2023-06-10,31,3.2,1
Northwest Territories,61,2023,23,2023-06-10,26,3.8,1
Nunavut,62,2023,23,2023-06-10,87,0,1
Canada,1,2023,23,2023-06-10,24430,7.4,
British Columbia,59,2023,24,2023-06-17,2102,9.5,1
Alberta,48,2023,24,2023-06-17,2446,3.9,1
Saskatchewan,47,2023,24,2023-06-17,1233,2.9,1
Manitoba,46,2023,24,2023-06-17,900,7.1,1
Ontario,35,2023,24,2023-06-17,5230,7.1,1
Quebec,24,2023,24,2023-06-17,8568,5.7,1
Newfoundland and Labrador,10,2023,24,2023-06-17,351,12.8,1
New Brunswick,13,2023,24,2023-06-17,573,10.5,1
Nova Scotia,12,2023,24,2023-06-17,1123,13.4,1
Prince Edward Island,11,2023,24,2023-06-17,49,10.2,1
Yukon,60,2023,24,2023-06-17,38,10.5,1
Northwest Territories,61,2023,24,2023-06-17,11,0,1
Nunavut,62,2023,24,2023-06-17,85,1.2,1
Canada,1,2023,24,2023-06-17,22709,6.7,
British Columbia,59,2023,25,2023-06-24,2061,8,1
Alberta,48,2023,25,2023-06-24,2293,4.2,1
Saskatchewan,47,2023,25,2023-06-24,1112,3,1
Manitoba,46,2023,25,2023-06-24,889,4.6,1
Ontario,35,2023,25,2023-06-24,4997,6.4,1
Quebec,24,2023,25,2023-06-24,7213,5.4,1
Newfoundland and Labrador,10,2023,25,2023-06-24,376,18.9,1
New Brunswick,13,2023,25,2023-06-24,580,6.6,1
Nova Scotia,12,2023,25,2023-06-24,1101,10.4,1
Prince Edward Island,11,2023,25,2023-06-24,69,21.7,1
Yukon,60,2023,25,2023-06-24,28,3.6,1
Northwest Territories,61,2023,25,2023-06-24,18,0,1
Nunavut,62,2023,25,2023-06-24,51,3.9,1
Canada,1,2023,25,2023-06-24,20788,6.2,
British Columbia,59,2023,26,2023-07-01,2070,8.7,1
Alberta,48,2023,26,2023-07-01,2334,4.5,1
Saskatchewan,47,2023,26,2023-07-01,1064,3.2,1
Manitoba,46,2023,26,2023-07-01,811,3.5,1
Ontario,35,2023,26,2023-07-01,4671,5.4,1
Quebec,24,2023,26,2023-07-01,7184,5.8,1
Newfoundland and Labrador,10,2023,26,2023-07-01,304,14.8,1
New Brunswick,13,2023,26,2023-07-01,522,4.4,1
Nova Scotia,12,2023,26,2023-07-01,929,6.9,1
Prince Edward Island,11,2023,26,2023-07-01,73,15.1,1
Yukon,60,2023,26,2023-07-01,37,0,1
Northwest Territories,61,2023,26,2023-07-01,12,0,1
Nunavut,62,2023,26,2023-07-01,55,0,1
Canada,1,2023,26,2023-07-01,20066,5.8,
British Columbia,59,2023,27,2023-07-08,1939,10,1
Alberta,48,2023,27,2023-07-08,2191,3,1
Saskatchewan,47,2023,27,2023-07-08,1072,2.1,1
Manitoba,46,2023,27,2023-07-08,855,4.1,1
Ontario,35,2023,27,2023-07-08,4457,5.5,1
Quebec,24,2023,27,2023-07-08,6791,5.6,1
Newfoundland and Labrador,10,2023,27,2023-07-08,311,12.5,1
New Brunswick,13,2023,27,2023-07-08,512,4.7,1
Nova Scotia,12,2023,27,2023-07-08,778,10.7,1
Prince Edward Island,11,2023,27,2023-07-08,84,9.5,1
Yukon,60,2023,27,2023-07-08,22,9.1,1
Northwest Territories,61,2023,27,2023-07-08,9,0,1
Nunavut,62,2023,27,2023-07-08,52,0,1
Canada,1,2023,27,2023-07-08,19073,5.7,
British Columbia,59,2023,28,2023-07-15,1845,8.2,1
Alberta,48,2023,28,2023-07-15,2102,3.3,1
Saskatchewan,47,2023,28,2023-07-15,967,4.9,1
Manitoba,46,2023,28,2023-07-15,856,2.7,1
Ontario,35,2023,28,2023-07-15,4625,7.3,1
Quebec,24,2023,28,2023-07-15,6640,5.4,1
Newfoundland and Labrador,10,2023,28,2023-07-15,340,13.5,1
New Brunswick,13,2023,28,2023-07-15,470,4,1
Nova Scotia,12,2023,28,2023-07-15,816,12.4,1
Prince Edward Island,11,2023,28,2023-07-15,62,8.1,1
Yukon,60,2023,28,2023-07-15,24,0,1
Northwest Territories,61,2023,28,2023-07-15,5,0,1
Nunavut,62,2023,28,2023-07-15,61,0,1
Canada,1,2023,28,2023-07-15,18813,6.1,
British Columbia,59,2023,29,2023-07-22,1750,8.2,1
Alberta,48,2023,29,2023-07-22,2179,5.2,1
Saskatchewan,47,2023,29,2023-07-22,943,5.3,1
Manitoba,46,2023,29,2023-07-22,753,4.5,1
Ontario,35,2023,29,2023-07-22,4887,7.5,1
Quebec,24,2023,29,2023-07-22,6202,6.9,1
Newfoundland and Labrador,10,2023,29,2023-07-22,292,10.6,1
New Brunswick,13,2023,29,2023-07-22,462,9.1,1
Nova Scotia,12,2023,29,2023-07-22,755,8.5,1
Prince Edward Island,11,2023,29,2023-07-22,51,3.9,1
Yukon,60,2023,29,2023-07-22,26,3.8,1
Northwest Territories,61,2023,29,2023-07-22,17,0,1
Nunavut,62,2023,29,2023-07-22,66,3,1
Canada,1,2023,29,2023-07-22,18383,6.9,
British Columbia,59,2023,30,2023-07-29,1823,8.2,1
Alberta,48,2023,30,2023-07-29,2220,7.6,1
Saskatchewan,47,2023,30,2023-07-29,1039,7.2,1
Manitoba,46,2023,30,2023-07-29,846,6,1
Ontario,35,2023,30,2023-07-29,4663,8.2,1
Quebec,24,2023,30,2023-07-29,6176,7.6,1
Newfoundland and Labrador,10,2023,30,2023-07-29,299,8.4,1
New Brunswick,13,2023,30,2023-07-29,546,10.1,1
Nova Scotia,12,2023,30,2023-07-29,773,5.8,1
Prince Edward Island,11,2023,30,2023-07-29,57,10.5,1
Yukon,60,2023,30,2023-07-29,41,4.9,1
Northwest Territories,61,2023,30,2023-07-29,10,0,1
Nunavut,62,2023,30,2023-07-29,45,0,1
Canada,1,2023,30,2023-07-29,18538,7.7,
British Columbia,59,2023,31,2023-08-05,1700,9.1,1
Alberta,48,2023,31,2023-08-05,2127,7.5,1
Saskatchewan,47,2023,31,2023-08-05,855,5.4,1
Manitoba,46,2023,31,2023-08-05,844,8.3,1
Ontario,35,2023,31,2023-08-05,4533,7.7,1
Quebec,24,2023,31,2023-08-05,6351,9.5,1
Newfoundland and Labrador,10,2023,31,2023-08-05,276,8.3,1
New Brunswick,13,2023,31,2023-08-05,515,8.2,1
Nova Scotia,12,2023,31,2023-08-05,833,8.9,1
Prince Edward Island,11,2023,31,2023-08-05,60,6.7,1
Yukon,60,2023,31,2023-08-05,21,4.8,1
Northwest Territories,61,2023,31,2023-08-05,9,0,1
Nunavut,62,2023,31,2023-08-05,41,0,1
Canada,1,2023,31,2023-08-05,18165,8.4,
British Columbia,59,2023,32,2023-08-12,1756,8.2,1
Alberta,48,2023,32,2023-08-12,2366,8.5,1
Saskatchewan,47,2023,32,2023-08-12,855,5.3,1
Manitoba,46,2023,32,2023-08-12,765,9.2,1
Ontario,35,2023,32,2023-08-12,4756,7.7,1
Quebec,24,2023,32,2023-08-12,7151,11.4,1
Newfoundland and Labrador,10,2023,32,2023-08-12,317,11,1
New Brunswick,13,2023,32,2023-08-12,539,6.9,1
Nova Scotia,12,2023,32,2023-08-12,641,12.3,1
Prince Edward Island,11,2023,32,2023-08-12,74,12.2,1
Yukon,60,2023,32,2023-08-12,42,16.7,1
Northwest Territories,61,2023,32,2023-08-12,17,11.8,1
Nunavut,62,2023,32,2023-08-12,35,0,1
Canada,1,2023,32,2023-08-12,19314,9.4,
British Columbia,59,2023,33,2023-08-19,1933,12.2,1
Alberta,48,2023,33,2023-08-19,2676,7.9,1
Saskatchewan,47,2023,33,2023-08-19,931,5.8,1
Manitoba,46,2023,33,2023-08-19,886,10.6,1
Ontario,35,2023,33,2023-08-19,5757,11.1,1
Quebec,24,2023,33,2023-08-19,7858,13.9,1
Newfoundland and Labrador,10,2023,33,2023-08-19,306,13.7,1
New Brunswick,13,2023,33,2023-08-19,534,6.7,1
Nova Scotia,12,2023,33,2023-08-19,767,14.9,1
Prince Edward Island,11,2023,33,2023-08-19,109,9.2,1
Yukon,60,2023,33,2023-08-19,47,10.6,1
Northwest Territories,61,2023,33,2023-08-19,,,0
Nunavut,62,2023,33,2023-08-19,33,3,1
Canada,1,2023,33,2023-08-19,21837,11.6,
British Columbia,59,2023,34,2023-08-26,2163,17.5,1
Alberta,48,2023,34,2023-08-26,2805,9.1,1
Saskatchewan,47,2023,34,2023-08-26,1024,7.4,1
Manitoba,46,2023,34,2023-08-26,987,14,1
Ontario,35,2023,34,2023-08-26,5896,12.5,1
Quebec,24,2023,34,2023-08-26,8580,15,1
Newfoundland and Labrador,10,2023,34,2023-08-26,377,12.5,1
New Brunswick,13,2023,34,2023-08-26,516,10.3,1
Nova Scotia,12,2023,34,2023-08-26,816,17.3,1
Prince Edward Island,11,2023,34,2023-08-26,116,11.2,1
Yukon,60,2023,34,2023-08-26,39,17.9,1
Northwest Territories,61,2023,34,2023-08-26,,,0
Nunavut,62,2023,34,2023-08-26,62,4.8,1
Canada,1,2023,34,2023-08-26,23381,13.4,
British Columbia,59,2023,35,2023-09-02,2651,18,1
Alberta,48,2023,35,2023-09-02,3066,10.8,1
Saskatchewan,47,2023,35,2023-09-02,982,6.7,1
Manitoba,46,2023,35,2023-09-02,1144,13.5,1
Ontario,35,2023,35,2023-09-02,6230,12.4,1
Quebec,24,2023,35,2023-09-02,9351,16.3,1
Newfoundland and Labrador,10,2023,35,2023-09-02,488,16.2,1
New Brunswick,13,2023,35,2023-09-02,642,14.3,1
Nova Scotia,12,2023,35,2023-09-02,871,19.9,1
Prince Edward Island,11,2023,35,2023-09-02,109,11.9,1
Yukon,60,2023,35,2023-09-02,67,17.9,1
Northwest Territories,61,2023,35,2023-09-02,0,0,1
Nunavut,62,2023,35,2023-09-02,55,3.6,1
Canada,1,2023,35,2023-09-02,25656,14.4,
British Columbia,59,2023,36,2023-09-09,2640,16.7,1
Alberta,48,2023,36,2023-09-09,3501,11.7,1
Saskatchewan,47,2023,36,2023-09-09,1183,8.4,1
Manitoba,46,2023,36,2023-09-09,1284,15.8,1
Ontario,35,2023,36,2023-09-09,6939,15.5,1
Quebec,24,2023,36,2023-09-09,10215,17.4,1
Newfoundland and Labrador,10,2023,36,2023-09-09,414,19.6,1
New Brunswick,13,2023,36,2023-09-09,641,13.4,1
Nova Scotia,12,2023,36,2023-09-09,1129,25.2,1
Prince Edward Island,11,2023,36,2023-09-09,162,14.2,1
Yukon,60,2023,36,2023-09-09,58,22.4,1
Northwest Territories,61,2023,36,2023-09-09,2,50,1
Nunavut,62,2023,36,2023-09-09,69,11.6,1
Canada,1,2023,36,2023-09-09,28237,15.9,
British Columbia,59,2023,37,2023-09-16,3111,20.6,1
Alberta,48,2023,37,2023-09-16,4337,12.4,1
Saskatchewan,47,2023,37,2023-09-16,1341,9,1
Manitoba,46,2023,37,2023-09-16,1270,14.4,1
Ontario,35,2023,37,2023-09-16,7337,15.7,1
Quebec,24,2023,37,2023-09-16,11678,18.1,1
Newfoundland and Labrador,10,2023,37,2023-09-16,479,14,1
New Brunswick,13,2023,37,2023-09-16,807,15.1,1
Nova Scotia,12,2023,37,2023-09-16,1131,24.8,1
Prince Edward Island,11,2023,37,2023-09-16,150,5.3,1
Yukon,60,2023,37,2023-09-16,56,8.9,1
Northwest Territories,61,2023,37,2023-09-16,9,22.2,1
Nunavut,62,2023,37,2023-09-16,84,9.5,1
Canada,1,2023,37,2023-09-16,31790,16.5,
British Columbia,59,2023,38,2023-09-23,3377,22.6,1
Alberta,48,2023,38,2023-09-23,4669,13.7,1
Saskatchewan,47,2023,38,2023-09-23,1676,9.9,1
Manitoba,46,2023,38,2023-09-23,1624,20.3,1
Ontario,35,2023,38,2023-09-23,8514,18.4,1
Quebec,24,2023,38,2023-09-23,13455,20.5,1
Newfoundland and Labrador,10,2023,38,2023-09-23,465,14.2,1
New Brunswick,13,2023,38,2023-09-23,840,12.7,1
Nova Scotia,12,2023,38,2023-09-23,1324,24.7,1
Prince Edward Island,11,2023,38,2023-09-23,146,6.8,1
Yukon,60,2023,38,2023-09-23,59,11.9,1
Northwest Territories,61,2023,38,2023-09-23,29,3.4,1
Nunavut,62,2023,38,2023-09-23,86,11.6,1
Canada,1,2023,38,2023-09-23,36264,18.6,
British Columbia,59,2023,39,2023-09-30,3895,23.6,1
Alberta,48,2023,39,2023-09-30,5089,15.2,1
Saskatchewan,47,2023,39,2023-09-30,1855,13.2,1
Manitoba,46,2023,39,2023-09-30,1714,19.5,1
Ontario,35,2023,39,2023-09-30,9291,17.9,1
Quebec,24,2023,39,2023-09-30,15431,21.3,1
Newfoundland and Labrador,10,2023,39,2023-09-30,501,17.4,1
New Brunswick,13,2023,39,2023-09-30,855,13,1
Nova Scotia,12,2023,39,2023-09-30,1603,30.5,1
Prince Edward Island,11,2023,39,2023-09-30,167,12.6,1
Yukon,60,2023,39,2023-09-30,71,7,1
Northwest Territories,61,2023,39,2023-09-30,23,17.4,1
Nunavut,62,2023,39,2023-09-30,92,16.3,1
Canada,1,2023,39,2023-09-30,40587,19.6,
British Columbia,59,2023,40,2023-10-07,4202,20.8,1
Alberta,48,2023,40,2023-10-07,5587,16.8,1
Saskatchewan,47,2023,40,2023-10-07,2079,12.7,1
Manitoba,46,2023,40,2023-10-07,1532,17.2,1
Ontario,35,2023,40,2023-10-07,9349,17.6,1
Quebec,24,2023,40,2023-10-07,15684,22.2,1
Newfoundland and Labrador,10,2023,40,2023-10-07,519,20.2,1
New Brunswick,13,2023,40,2023-10-07,949,17.1,1
Nova Scotia,12,2023,40,2023-10-07,1885,30.5,1
Prince Edward Island,11,2023,40,2023-10-07,191,12,1
Yukon,60,2023,40,2023-10-07,72,11.1,1
Northwest Territories,61,2023,40,2023-10-07,24,8.3,1
Nunavut,62,2023,40,2023-10-07,100,14,1
Canada,1,2023,40,2023-10-07,42173,19.8,
British Columbia,59,2023,41,2023-10-14,4047,19.1,1
Alberta,48,2023,41,2023-10-14,5819,17.8,1
Saskatchewan,47,2023,41,2023-10-14,2293,14.9,1
Manitoba,46,2023,41,2023-10-14,1513,15.9,1
Ontario,35,2023,41,2023-10-14,8426,15.3,1
Quebec,24,2023,41,2023-10-14,12605,18.3,1
Newfoundland and Labrador,10,2023,41,2023-10-14,599,21.7,1
New Brunswick,13,2023,41,2023-10-14,952,16.8,1
Nova Scotia,12,2023,41,2023-10-14,1729,23.6,1
Prince Edward Island,11,2023,41,2023-10-14,303,14.9,1
Yukon,60,2023,41,2023-10-14,46,13,1
Northwest Territories,61,2023,41,2023-10-14,36,22.2,1
Nunavut,62,2023,41,2023-10-14,95,12.6,1
Canada,1,2023,41,2023-10-14,38463,17.6,
British Columbia,59,2023,42,2023-10-21,3737,17.1,1
Alberta,48,2023,42,2023-10-21,5845,17.8,1
Saskatchewan,47,2023,42,2023-10-21,2531,16,1
Manitoba,46,2023,42,2023-10-21,1664,16.8,1
Ontario,35,2023,42,2023-10-21,9300,16.9,1
Quebec,24,2023,42,2023-10-21,12590,18.6,1
Newfoundland and Labrador,10,2023,42,2023-10-21,571,18.9,1
New Brunswick,13,2023,42,2023-10-21,961,16.4,1
Nova Scotia,12,2023,42,2023-10-21,1683,22.8,1
Prince Edward Island,11,2023,42,2023-10-21,278,14,1
Yukon,60,2023,42,2023-10-21,36,13.9,1
Northwest Territories,61,2023,42,2023-10-21,37,16.2,1
Nunavut,62,2023,42,2023-10-21,117,18.8,1
Canada,1,2023,42,2023-10-21,39350,17.8,
British Columbia,59,2023,43,2023-10-28,3262,14.9,1
Alberta,48,2023,43,2023-10-28,5591,16.3,1
Saskatchewan,47,2023,43,2023-10-28,2355,17.7,1
Manitoba,46,2023,43,2023-10-28,1504,18.6,1
Ontario,35,2023,43,2023-10-28,9276,19.4,1
Quebec,24,2023,43,2023-10-28,12003,18.3,1
Newfoundland and Labrador,10,2023,43,2023-10-28,509,18.7,1
New Brunswick,13,2023,43,2023-10-28,958,14.4,1
Nova Scotia,12,2023,43,2023-10-28,1464,20.4,1
Prince Edward Island,11,2023,43,2023-10-28,164,11,1
Yukon,60,2023,43,2023-10-28,43,7,1
Northwest Territories,61,2023,43,2023-10-28,17,17.6,1
Nunavut,62,2023,43,2023-10-28,140,20.7,1
Canada,1,2023,43,2023-10-28,37286,17.9,
British Columbia,59,2023,44,2023-11-04,3648,16,1
Alberta,48,2023,44,2023-11-04,5882,18,1
Saskatchewan,47,2023,44,2023-11-04,2824,16.3,1
Manitoba,46,2023,44,2023-11-04,1635,21.7,1
Ontario,35,2023,44,2023-11-04,9060,17.1,1
Quebec,24,2023,44,2023-11-04,11975,18.4,1
Newfoundland and Labrador,10,2023,44,2023-11-04,544,17.1,1
New Brunswick,13,2023,44,2023-11-04,918,13.3,1
Nova Scotia,12,2023,44,2023-11-04,1328,21.8,1
Prince Edward Island,11,2023,44,2023-11-04,175,14.9,1
Yukon,60,2023,44,2023-11-04,59,23.7,1
Northwest Territories,61,2023,44,2023-11-04,24,8.3,1
Nunavut,62,2023,44,2023-11-04,111,13.5,1
Canada,1,2023,44,2023-11-04,38183,17.7,
British Columbia,59,2023,45,2023-11-11,3545,14.4,1
Alberta,48,2023,45,2023-11-11,5807,15.9,1
Saskatchewan,47,2023,45,2023-11-11,3043,14.8,1
Manitoba,46,2023,45,2023-11-11,1598,24.9,1
Ontario,35,2023,45,2023-11-11,9607,18.2,1
Quebec,24,2023,45,2023-11-11,11815,19.9,1
Newfoundland and Labrador,10,2023,45,2023-11-11,519,21.8,1
New Brunswick,13,2023,45,2023-11-11,937,14.8,1
Nova Scotia,12,2023,45,2023-11-11,1435,23.8,1
Prince Edward Island,11,2023,45,2023-11-11,231,14.7,1
Yukon,60,2023,45,2023-11-11,52,11.5,1
Northwest Territories,61,2023,45,2023-11-11,25,8,1
Nunavut,62,2023,45,2023-11-11,108,11.1,1
Canada,1,2023,45,2023-11-11,38722,18.2,
British Columbia,59,2023,46,2023-11-18,3245,12.1,1
Alberta,48,2023,46,2023-11-18,6354,16,1
Saskatchewan,47,2023,46,2023-11-18,3009,13.7,1
Manitoba,46,2023,46,2023-11-18,1771,25,1
Ontario,35,2023,46,2023-11-18,10470,20.4,1
Quebec,24,2023,46,2023-11-18,13182,20.2,1
Newfoundland and Labrador,10,2023,46,2023-11-18,506,24.1,1
New Brunswick,13,2023,46,2023-11-18,1029,16.6,1
Nova Scotia,12,2023,46,2023-11-18,1466,26.7,1
Prince Edward Island,11,2023,46,2023-11-18,185,16.8,1
Yukon,60,2023,46,2023-11-18,67,6,1
Northwest Territories,61,2023,46,2023-11-18,22,4.5,1
Nunavut,62,2023,46,2023-11-18,126,4.8,1
Canada,1,2023,46,2023-11-18,41432,18.8,
British Columbia,59,2023,47,2023-11-25,3385,12,1
Alberta,48,2023,47,2023-11-25,6682,13.8,1
Saskatchewan,47,2023,47,2023-11-25,2983,15,1
Manitoba,46,2023,47,2023-11-25,1757,23.4,1
Ontario,35,2023,47,2023-11-25,10880,22.2,1
Quebec,24,2023,47,2023-11-25,12938,21.5,1
Newfoundland and Labrador,10,2023,47,2023-11-25,702,23.9,1
New Brunswick,13,2023,47,2023-11-25,1018,16.1,1
Nova Scotia,12,2023,47,2023-11-25,1514,26,1
Prince Edward Island,11,2023,47,2023-11-25,256,21.5,1
Yukon,60,2023,47,2023-11-25,64,4.7,1
Northwest Territories,61,2023,47,2023-11-25,22,4.5,1
Nunavut,62,2023,47,2023-11-25,103,7.8,1
Canada,1,2023,47,2023-11-25,42304,19.3,
British Columbia,59,2023,48,2023-12-02,3639,10.3,1
Alberta,48,2023,48,2023-12-02,7146,12,1
Saskatchewan,47,2023,48,2023-12-02,2912,11.2,1
Manitoba,46,2023,48,2023-12-02,1845,17,1
Ontario,35,2023,48,2023-12-02,11174,20.1,1
Quebec,24,2023,48,2023-12-02,14100,22.2,1
Newfoundland and Labrador,10,2023,48,2023-12-02,749,23.1,1
New Brunswick,13,2023,48,2023-12-02,1081,14.4,1
Nova Scotia,12,2023,48,2023-12-02,1476,26.9,1
Prince Edward Island,11,2023,48,2023-12-02,342,22.2,1
Yukon,60,2023,48,2023-12-02,45,4.4,1
Northwest Territories,61,2023,48,2023-12-02,43,7,1
Nunavut,62,2023,48,2023-12-02,161,8.7,1
Canada,1,2023,48,2023-12-02,44713,18,
British Columbia,59,2023,49,2023-12-09,4272,10.3,1
Alberta,48,2023,49,2023-12-09,7521,11.5,1
Saskatchewan,47,2023,49,2023-12-09,2876,12.6,1
Manitoba,46,2023,49,2023-12-09,2055,15.6,1
Ontario,35,2023,49,2023-12-09,11644,18.7,1
Quebec,24,2023,49,2023-12-09,14467,22.8,1
Newfoundland and Labrador,10,2023,49,2023-12-09,715,19.3,1
New Brunswick,13,2023,49,2023-12-09,1259,15.5,1
Nova Scotia,12,2023,49,2023-12-09,1442,24.5,1
Prince Edward Island,11,2023,49,2023-12-09,238,21,1
Yukon,60,2023,49,2023-12-09,55,7.3,1
Northwest Territories,61,2023,49,2023-12-09,56,7.1,1
Nunavut,62,2023,49,2023-12-09,276,6.9,1
Canada,1,2023,49,2023-12-09,46876,17.5,
British Columbia,59,2023,50,2023-12-16,3746,10.3,1
Alberta,48,2023,50,2023-12-16,7234,10.2,1
Saskatchewan,47,2023,50,2023-12-16,2729,10.8,1
Manitoba,46,2023,50,2023-12-16,2126,14.7,1
Ontario,35,2023,50,2023-12-16,12142,18.7,1
Quebec,24,2023,50,2023-12-16,15835,24,1
Newfoundland and Labrador,10,2023,50,2023-12-16,718,18,1
New Brunswick,13,2023,50,2023-12-16,1488,15.5,1
Nova Scotia,12,2023,50,2023-12-16,1625,22.6,1
Prince Edward Island,11,2023,50,2023-12-16,234,12.8,1
Yukon,60,2023,50,2023-12-16,45,13.3,1
Northwest Territories,61,2023,50,2023-12-16,72,4.2,1
Nunavut,62,2023,50,2023-12-16,221,5.4,1
Canada,1,2023,50,2023-12-16,48215,17.8,
British Columbia,59,2023,51,2023-12-23,3952,10.6,1
Alberta,48,2023,51,2023-12-23,6843,9.3,1
Saskatchewan,47,2023,51,2023-12-23,2444,9.7,1
Manitoba,46,2023,51,2023-12-23,2185,12,1
Ontario,35,2023,51,2023-12-23,11548,18.7,1
Quebec,24,2023,51,2023-12-23,16682,22.1,1
Newfoundland and Labrador,10,2023,51,2023-12-23,781,16,1
New Brunswick,13,2023,51,2023-12-23,1596,12,1
Nova Scotia,12,2023,51,2023-12-23,1713,20.1,1
