"variant","subvariant","var1","var2","correlation","lower_ci","upper_ci","n_obs","dataset"
"Omicron","BA.1","lag1_viral_load","inf_mean_7dts",0.859426355383116,0.500771642355801,0.966217118773652,10,"usa by subvariant"
"Omicron","BA.1","lag2_viral_load","inf_mean_7dts",0.749314575100573,0.169569686483011,0.943779809152692,9,"usa by subvariant"
"Omicron","BA.1","lag3_viral_load","inf_mean_7dts",0.660682805855081,-0.0823274969865364,0.931626085534918,8,"usa by subvariant"
"Omicron","BA.1","lag4_viral_load","inf_mean_7dts",0.58727545366463,-0.297252474973556,0.92933592706249,7,"usa by subvariant"
"Omicron","BA.1","log_lag1_viral_load","inf_mean_7dts",0.80350543242373,0.351904691580727,0.951674020512014,10,"usa by subvariant"
"Omicron","BA.1","log_hosp","inf_mean_7dts",0.803663147028743,0.393476642230497,0.946995837901768,11,"usa by subvariant"
"Omicron","BA.1","log_inf","inf_mean_7dts",0.971732003042839,0.891564910355639,0.992854685662829,11,"usa by subvariant"
"Omicron","BA.1","log_cases","inf_mean_7dts",0.863477365833212,0.546859524229452,0.964014805769148,11,"usa by subvariant"
"Omicron","BA.1","inf_mean","daily_cases_7dts",0.835967652686755,0.473573520156426,0.956288478043383,11,"usa by subvariant"
"Omicron","BA.1","daily_cases","daily_cases_7dts",0.964494616682641,0.865205696437206,0.991000605062865,11,"usa by subvariant"
"Omicron","BA.1","inf_mean_7dts","daily_cases_7dts",0.891989078644056,0.628305329989963,0.971847246965704,11,"usa by subvariant"
"Omicron","BA.1","viral_load","daily_cases_7dts",0.983743609807711,0.936544750677548,0.995909485159061,11,"usa by subvariant"
"Omicron","BA.1","hosp_current","daily_cases_7dts",0.900814535817325,0.654744454153886,0.974236432239768,11,"usa by subvariant"
"Omicron","BA.1","hosp_new","daily_cases_7dts",0.974563312041597,0.902026739688434,0.993577248427567,11,"usa by subvariant"
"Omicron","BA.1","deaths","daily_cases_7dts",0.768275037991559,0.312343064741155,0.93653321341362,11,"usa by subvariant"
"Omicron","BA.1","log_viral_load","daily_cases_7dts",0.934907572111529,0.762867364667562,0.983313693621519,11,"usa by subvariant"
"Omicron","BA.1","lead1_viral_load","daily_cases_7dts",0.863335983967011,0.546470055807228,0.963975527006108,11,"usa by subvariant"
"Omicron","BA.1","lead2_viral_load","daily_cases_7dts",0.74599304493952,0.264456421052704,0.929788013590656,11,"usa by subvariant"
"Omicron","BA.1","lead3_viral_load","daily_cases_7dts",0.641247381608809,0.0672232016444613,0.896334434517946,11,"usa by subvariant"
"Omicron","BA.1","lead4_viral_load","daily_cases_7dts",0.56511628986949,-0.0525976884986348,0.870049434905914,11,"usa by subvariant"
"Omicron","BA.1","lag1_viral_load","daily_cases_7dts",0.956549662031504,0.821966257335741,0.9899564753123,10,"usa by subvariant"
"Omicron","BA.1","lag2_viral_load","daily_cases_7dts",0.815077058371826,0.329088181071878,0.959703241198536,9,"usa by subvariant"
"Omicron","BA.1","lag3_viral_load","daily_cases_7dts",0.66508851843995,-0.0745166111790541,0.932656514570412,8,"usa by subvariant"
"Omicron","BA.1","lag4_viral_load","daily_cases_7dts",0.51021463447114,-0.394383284762177,0.912626426625166,7,"usa by subvariant"
"Omicron","BA.1","log_lag1_viral_load","daily_cases_7dts",0.881512876894967,0.5660581367957,0.971779634937034,10,"usa by subvariant"
"Omicron","BA.1","log_hosp","daily_cases_7dts",0.900555483959292,0.65395971789409,0.974166536948475,11,"usa by subvariant"
"Omicron","BA.1","log_inf","daily_cases_7dts",0.930622163579132,0.7487264442864,0.982185797650584,11,"usa by subvariant"
"Omicron","BA.1","log_cases","daily_cases_7dts",0.940370293769123,0.781134992214925,0.984746076595773,11,"usa by subvariant"
"Omicron","BA.1","inf_mean","viral_load",0.916998159399482,0.704843710287589,0.978575182014084,11,"usa by subvariant"
"Omicron","BA.1","daily_cases","viral_load",0.991225617699076,0.965370834012043,0.997798360082995,11,"usa by subvariant"
"Omicron","BA.1","inf_mean_7dts","viral_load",0.955755563972335,0.834092237806624,0.98874818863078,11,"usa by subvariant"
"Omicron","BA.1","daily_cases_7dts","viral_load",0.983743609807711,0.936544750677548,0.995909485159061,11,"usa by subvariant"
"Omicron","BA.1","hosp_current","viral_load",0.850207813585931,0.510893065183466,0.960309026992483,11,"usa by subvariant"
"Omicron","BA.1","hosp_new","viral_load",0.954697030452487,0.830375402015405,0.988474341035038,11,"usa by subvariant"
"Omicron","BA.1","deaths","viral_load",0.703884553046933,0.180010587667817,0.916694743540733,11,"usa by subvariant"
"Omicron","BA.1","log_viral_load","viral_load",0.951601360473834,0.819568675622876,0.987672206152611,11,"usa by subvariant"
"Omicron","BA.1","lead1_viral_load","viral_load",0.936065369214421,0.76671629556335,0.983617782248363,11,"usa by subvariant"
"Omicron","BA.1","lead2_viral_load","viral_load",0.848330793876124,0.505899625368588,0.959781676431476,11,"usa by subvariant"
"Omicron","BA.1","lead3_viral_load","viral_load",0.761687953973183,0.297941215862062,0.934552058985028,11,"usa by subvariant"
"Omicron","BA.1","lead4_viral_load","viral_load",0.694255057430317,0.161726395052712,0.913634928458156,11,"usa by subvariant"
"Omicron","BA.1","lag1_viral_load","viral_load",0.929420069984717,0.722714340423547,0.983509681378122,10,"usa by subvariant"
"Omicron","BA.1","lag2_viral_load","viral_load",0.820337790325944,0.343171345713788,0.960938157173911,9,"usa by subvariant"
"Omicron","BA.1","lag3_viral_load","viral_load",0.693290564649789,-0.0222708841518277,0.939150723426442,8,"usa by subvariant"
"Omicron","BA.1","lag4_viral_load","viral_load",0.568940885275072,-0.322150317531034,0.925483430473666,7,"usa by subvariant"
"Omicron","BA.1","log_lag1_viral_load","viral_load",0.870197354993294,0.532108351997215,0.968942293427714,10,"usa by subvariant"
"Omicron","BA.1","log_hosp","viral_load",0.897005922168915,0.643260346857593,0.973207400092647,11,"usa by subvariant"
"Omicron","BA.1","log_inf","viral_load",0.973716507593377,0.898888797863103,0.993361302537942,11,"usa by subvariant"
"Omicron","BA.1","log_cases","viral_load",0.942854843667402,0.789534641262101,0.985395567851526,11,"usa by subvariant"
"Omicron","BA.1","inf_mean","hosp_current",0.610961445285129,0.0174875712766368,0.886088364118046,11,"usa by subvariant"
"Omicron","BA.1","daily_cases","hosp_current",0.77790812896031,0.333788874249244,0.939411274132593,11,"usa by subvariant"
"Omicron","BA.1","inf_mean_7dts","hosp_current",0.688279590843763,0.150561266929993,0.911723617224303,11,"usa by subvariant"
"Omicron","BA.1","daily_cases_7dts","hosp_current",0.900814535817325,0.654744454153886,0.974236432239768,11,"usa by subvariant"
"Omicron","BA.1","viral_load","hosp_current",0.850207813585931,0.510893065183466,0.960309026992483,11,"usa by subvariant"
"Omicron","BA.1","hosp_new","hosp_current",0.967843126766177,0.87733343665855,0.991859695700921,11,"usa by subvariant"
"Omicron","BA.1","deaths","hosp_current",0.96976098877319,0.884332076575998,0.992350757837965,11,"usa by subvariant"
"Omicron","BA.1","log_viral_load","hosp_current",0.921632384171942,0.719590453916483,0.979807603301215,11,"usa by subvariant"
"Omicron","BA.1","lead1_viral_load","hosp_current",0.643901697393879,0.0717224683423163,0.897219619005428,11,"usa by subvariant"
"Omicron","BA.1","lead2_viral_load","hosp_current",0.494733424516147,-0.149526573604162,0.844102074398589,11,"usa by subvariant"
"Omicron","BA.1","lead3_viral_load","hosp_current",0.381887831393229,-0.282775928108365,0.798780015410711,11,"usa by subvariant"
"Omicron","BA.1","lead4_viral_load","hosp_current",0.298580844333412,-0.367045097218791,0.761982554091201,11,"usa by subvariant"
"Omicron","BA.1","lag1_viral_load","hosp_current",0.986749970000102,0.942983255905596,0.996973182960638,10,"usa by subvariant"
"Omicron","BA.1","lag2_viral_load","hosp_current",0.964553128459807,0.835875547133709,0.992743126839886,9,"usa by subvariant"
"Omicron","BA.1","lag3_viral_load","hosp_current",0.873252589858015,0.438263162530197,0.976828194016091,8,"usa by subvariant"
"Omicron","BA.1","lag4_viral_load","hosp_current",0.742784643148985,-0.0233328721956134,0.959268542487751,7,"usa by subvariant"
"Omicron","BA.1","log_lag1_viral_load","hosp_current",0.986780616127329,0.943112231970902,0.996980219656132,10,"usa by subvariant"
"Omicron","BA.1","log_hosp","hosp_current",0.95996449068313,0.848981174785671,0.989834874394888,11,"usa by subvariant"
"Omicron","BA.1","log_inf","hosp_current",0.824391847760359,0.444165998916675,0.952986313539306,11,"usa by subvariant"
"Omicron","BA.1","log_cases","hosp_current",0.950061430314329,0.814227666734944,0.987272480187372,11,"usa by subvariant"
"Omicron","BA.1","inf_mean","hosp_new",0.781995762431389,0.343030114238884,0.940625686585815,11,"usa by subvariant"
"Omicron","BA.1","daily_cases","hosp_new",0.909288812771858,0.68071115297831,0.976515142698659,11,"usa by subvariant"
"Omicron","BA.1","inf_mean_7dts","hosp_new",0.843303304203571,0.492637095172002,0.958365313199831,11,"usa by subvariant"
"Omicron","BA.1","daily_cases_7dts","hosp_new",0.974563312041597,0.902026739688434,0.993577248427567,11,"usa by subvariant"
"Omicron","BA.1","viral_load","hosp_new",0.954697030452487,0.830375402015405,0.988474341035038,11,"usa by subvariant"
"Omicron","BA.1","hosp_current","hosp_new",0.967843126766177,0.87733343665855,0.991859695700921,11,"usa by subvariant"
"Omicron","BA.1","deaths","hosp_new",0.881545610352706,0.597786532253794,0.968998665634891,11,"usa by subvariant"
"Omicron","BA.1","log_viral_load","hosp_new",0.973169061903914,0.896864244651385,0.99322162320924,11,"usa by subvariant"
"Omicron","BA.1","lead1_viral_load","hosp_new",0.809099346029838,0.406533197814544,0.948576571026572,11,"usa by subvariant"
"Omicron","BA.1","lead2_viral_load","hosp_new",0.6842135066939,0.14304143708574,0.910417486057835,11,"usa by subvariant"
"Omicron","BA.1","lead3_viral_load","hosp_new",0.579628356146161,-0.0310518123810358,0.875197290205671,11,"usa by subvariant"
"Omicron","BA.1","lead4_viral_load","hosp_new",0.500591195284911,-0.14190572332285,0.846325886576754,11,"usa by subvariant"
"Omicron","BA.1","lag1_viral_load","hosp_new",0.987611458816589,0.946613898713704,0.997170926678845,10,"usa by subvariant"
"Omicron","BA.1","lag2_viral_load","hosp_new",0.919544518459447,0.656081802768125,0.983223046933082,9,"usa by subvariant"
"Omicron","BA.1","lag3_viral_load","hosp_new",0.825418829647941,0.288609566176899,0.967403090370994,8,"usa by subvariant"
"Omicron","BA.1","lag4_viral_load","hosp_new",0.684845139819219,-0.140874432900077,0.948656885299712,7,"usa by subvariant"
"Omicron","BA.1","log_lag1_viral_load","hosp_new",0.961957326859999,0.842777706439331,0.991225101171365,10,"usa by subvariant"
"Omicron","BA.1","log_hosp","hosp_new",0.9691086675334,0.881947316733781,0.992183813356821,11,"usa by subvariant"
"Omicron","BA.1","log_inf","hosp_new",0.928728333920359,0.742529522265783,0.981686165519685,11,"usa by subvariant"
"Omicron","BA.1","log_cases","hosp_new",0.984907173920539,0.940986110754288,0.996203933343987,11,"usa by subvariant"
"Omicron","BA.1","inf_mean","deaths",0.436742361436156,-0.221056318755449,0.821418490027337,11,"usa by subvariant"
"Omicron","BA.1","daily_cases","deaths",0.608341985205158,0.0133195950257312,0.885189355593828,11,"usa by subvariant"
"Omicron","BA.1","inf_mean_7dts","deaths",0.518726671867365,-0.11781880707496,0.853135163099378,11,"usa by subvariant"
"Omicron","BA.1","daily_cases_7dts","deaths",0.768275037991559,0.312343064741155,0.93653321341362,11,"usa by subvariant"
"Omicron","BA.1","viral_load","deaths",0.703884553046933,0.180010587667817,0.916694743540733,11,"usa by subvariant"
"Omicron","BA.1","hosp_current","deaths",0.96976098877319,0.884332076575998,0.992350757837965,11,"usa by subvariant"
"Omicron","BA.1","hosp_new","deaths",0.881545610352706,0.597786532253794,0.968998665634891,11,"usa by subvariant"
"Omicron","BA.1","log_viral_load","deaths",0.83833335719706,0.479684538578688,0.956959573831005,11,"usa by subvariant"
"Omicron","BA.1","lead1_viral_load","deaths",0.469783682452262,-0.181150456668427,0.834493728332137,11,"usa by subvariant"
"Omicron","BA.1","lead2_viral_load","deaths",0.316690934397931,-0.349610352037452,0.770244860088808,11,"usa by subvariant"
"Omicron","BA.1","lead3_viral_load","deaths",0.210125905013371,-0.445972541453511,0.719336046877592,11,"usa by subvariant"
"Omicron","BA.1","lead4_viral_load","deaths",0.130874718932568,-0.508967229213835,0.677562743990552,11,"usa by subvariant"
"Omicron","BA.1","lag1_viral_load","deaths",0.92646132564042,0.712382111627826,0.982798183708422,10,"usa by subvariant"
"Omicron","BA.1","lag2_viral_load","deaths",0.989654199907509,0.949767451020044,0.997903257907807,9,"usa by subvariant"
"Omicron","BA.1","lag3_viral_load","deaths",0.929281369056595,0.650726794374033,0.987379767872371,8,"usa by subvariant"
"Omicron","BA.1","lag4_viral_load","deaths",0.805815097683883,0.134164469481233,0.970158126766879,7,"usa by subvariant"
"Omicron","BA.1","log_lag1_viral_load","deaths",0.96973377518109,0.873343399988438,0.993040035324144,10,"usa by subvariant"
"Omicron","BA.1","log_hosp","deaths",0.913345701248491,0.693348879893223,0.977600731395649,11,"usa by subvariant"
"Omicron","BA.1","log_inf","deaths",0.697952152508837,0.168703350833567,0.914812643747837,11,"usa by subvariant"
"Omicron","BA.1","log_cases","deaths",0.876640766193902,0.583731524884446,0.967652737879977,11,"usa by subvariant"
"Omicron","BA.1","inf_mean","log_viral_load",0.853806181647075,0.520530267749386,0.961317796188253,11,"usa by subvariant"
"Omicron","BA.1","daily_cases","log_viral_load",0.910928295355178,0.685802021537148,0.976954265626549,11,"usa by subvariant"
"Omicron","BA.1","inf_mean_7dts","log_viral_load",0.895196202999942,0.637843226682242,0.972717368046019,11,"usa by subvariant"
"Omicron","BA.1","daily_cases_7dts","log_viral_load",0.934907572111529,0.762867364667562,0.983313693621519,11,"usa by subvariant"
"Omicron","BA.1","viral_load","log_viral_load",0.951601360473834,0.819568675622876,0.987672206152611,11,"usa by subvariant"
"Omicron","BA.1","hosp_current","log_viral_load",0.921632384171942,0.719590453916483,0.979807603301215,11,"usa by subvariant"
"Omicron","BA.1","hosp_new","log_viral_load",0.973169061903914,0.896864244651385,0.99322162320924,11,"usa by subvariant"
"Omicron","BA.1","deaths","log_viral_load",0.83833335719706,0.479684538578688,0.956959573831005,11,"usa by subvariant"
"Omicron","BA.1","lead1_viral_load","log_viral_load",0.870265434268758,0.565721433807717,0.965895519041062,11,"usa by subvariant"
"Omicron","BA.1","lead2_viral_load","log_viral_load",0.779864625507681,0.33820145667304,0.939993044295405,11,"usa by subvariant"
"Omicron","BA.1","lead3_viral_load","log_viral_load",0.700447383577733,0.173442382667085,0.915605424366792,11,"usa by subvariant"
"Omicron","BA.1","lead4_viral_load","log_viral_load",0.634243524682161,0.0554621592362806,0.893988924082674,11,"usa by subvariant"
"Omicron","BA.1","lag1_viral_load","log_viral_load",0.964509333262837,0.852724465571622,0.99182192927447,10,"usa by subvariant"
"Omicron","BA.1","lag2_viral_load","log_viral_load",0.941815511973883,0.741459517413896,0.987977499742432,9,"usa by subvariant"
"Omicron","BA.1","lag3_viral_load","log_viral_load",0.884439380807786,0.477126018193091,0.978975948608904,8,"usa by subvariant"
"Omicron","BA.1","lag4_viral_load","log_viral_load",0.792242873409914,0.0971195989403542,0.967867993540193,7,"usa by subvariant"
"Omicron","BA.1","log_lag1_viral_load","log_viral_load",0.978096350986495,0.907082356457745,0.994979490929196,10,"usa by subvariant"
"Omicron","BA.1","log_hosp","log_viral_load",0.983026291305966,0.93381425333984,0.995727833766032,11,"usa by subvariant"
"Omicron","BA.1","log_inf","log_viral_load",0.973583220312044,0.898395582969104,0.993327299972393,11,"usa by subvariant"
"Omicron","BA.1","log_cases","log_viral_load",0.996554860267945,0.986295258678334,0.999137286152298,11,"usa by subvariant"
"Omicron","BA.1","inf_mean","lead1_viral_load",0.99843433014088,0.993754267456813,0.999608209611959,11,"usa by subvariant"
"Omicron","BA.1","daily_cases","lead1_viral_load",0.958152864430319,0.84255093386346,0.989367565080233,11,"usa by subvariant"
"Omicron","BA.1","inf_mean_7dts","lead1_viral_load",0.997973238186823,0.991920462838816,0.999492739045956,11,"usa by subvariant"
"Omicron","BA.1","daily_cases_7dts","lead1_viral_load",0.863335983967011,0.546470055807228,0.963975527006108,11,"usa by subvariant"
"Omicron","BA.1","viral_load","lead1_viral_load",0.936065369214421,0.76671629556335,0.983617782248363,11,"usa by subvariant"
"Omicron","BA.1","hosp_current","lead1_viral_load",0.643901697393879,0.0717224683423163,0.897219619005428,11,"usa by subvariant"
"Omicron","BA.1","hosp_new","lead1_viral_load",0.809099346029838,0.406533197814544,0.948576571026572,11,"usa by subvariant"
"Omicron","BA.1","deaths","lead1_viral_load",0.469783682452262,-0.181150456668427,0.834493728332137,11,"usa by subvariant"
"Omicron","BA.1","log_viral_load","lead1_viral_load",0.870265434268758,0.565721433807717,0.965895519041062,11,"usa by subvariant"
"Omicron","BA.1","lead2_viral_load","lead1_viral_load",0.979899546632568,0.921978781419591,0.994934877227987,11,"usa by subvariant"
"Omicron","BA.1","lead3_viral_load","lead1_viral_load",0.939547515002185,0.778366027206358,0.98453071940889,11,"usa by subvariant"
"Omicron","BA.1","lead4_viral_load","lead1_viral_load",0.900822875782351,0.654769726920098,0.974238682227814,11,"usa by subvariant"
"Omicron","BA.1","lag1_viral_load","lead1_viral_load",0.837377095348876,0.439426448778377,0.960562943171161,10,"usa by subvariant"
"Omicron","BA.1","lag2_viral_load","lead1_viral_load",0.727196117136457,0.121973737128458,0.938213363059908,9,"usa by subvariant"
"Omicron","BA.1","lag3_viral_load","lead1_viral_load",0.630144873881211,-0.134070179645653,0.924361936330573,8,"usa by subvariant"
"Omicron","BA.1","lag4_viral_load","lead1_viral_load",0.538852159852668,-0.360502471820786,0.918997127389335,7,"usa by subvariant"
"Omicron","BA.1","log_lag1_viral_load","lead1_viral_load",0.777975807978795,0.290774294590661,0.944806104037469,10,"usa by subvariant"
"Omicron","BA.1","log_hosp","lead1_viral_load",0.770379067170513,0.316987856744631,0.937163772112346,11,"usa by subvariant"
"Omicron","BA.1","log_inf","lead1_viral_load",0.958802437591144,0.844852765216281,0.989535196745883,11,"usa by subvariant"
"Omicron","BA.1","log_cases","lead1_viral_load",0.834104383707203,0.468784817114295,0.955759017897889,11,"usa by subvariant"
"Omicron","BA.1","inf_mean","lead2_viral_load",0.988588790115682,0.955139319247026,0.997133892701996,11,"usa by subvariant"
"Omicron","BA.1","daily_cases","lead2_viral_load",0.884549362007327,0.606480890249645,0.969820363874186,11,"usa by subvariant"
"Omicron","BA.1","inf_mean_7dts","lead2_viral_load",0.96572144880648,0.869635632649733,0.991315613631453,11,"usa by subvariant"
"Omicron","BA.1","daily_cases_7dts","lead2_viral_load",0.74599304493952,0.264456421052704,0.929788013590656,11,"usa by subvariant"
"Omicron","BA.1","viral_load","lead2_viral_load",0.848330793876124,0.505899625368588,0.959781676431476,11,"usa by subvariant"
"Omicron","BA.1","hosp_current","lead2_viral_load",0.494733424516147,-0.149526573604162,0.844102074398589,11,"usa by subvariant"
"Omicron","BA.1","hosp_new","lead2_viral_load",0.6842135066939,0.14304143708574,0.910417486057835,11,"usa by subvariant"
"Omicron","BA.1","deaths","lead2_viral_load",0.316690934397931,-0.349610352037452,0.770244860088808,11,"usa by subvariant"
"Omicron","BA.1","log_viral_load","lead2_viral_load",0.779864625507681,0.33820145667304,0.939993044295405,11,"usa by subvariant"
"Omicron","BA.1","lead1_viral_load","lead2_viral_load",0.979899546632568,0.921978781419591,0.994934877227987,11,"usa by subvariant"
"Omicron","BA.1","lead3_viral_load","lead2_viral_load",0.988250687931684,0.953833152943784,0.997048597182286,11,"usa by subvariant"
"Omicron","BA.1","lead4_viral_load","lead2_viral_load",0.967516637914944,0.876145840124312,0.991776028108971,11,"usa by subvariant"
"Omicron","BA.1","lag1_viral_load","lead2_viral_load",0.747037799045107,0.221666521092371,0.936281986753121,10,"usa by subvariant"
"Omicron","BA.1","lag2_viral_load","lead2_viral_load",0.662508910246202,-0.0028946298107222,0.921282092016015,9,"usa by subvariant"
"Omicron","BA.1","lag3_viral_load","lead2_viral_load",0.590593030292268,-0.195416309539431,0.914625494933217,8,"usa by subvariant"
"Omicron","BA.1","lag4_viral_load","lead2_viral_load",0.485337953828197,-0.421945389901303,0.906929036253444,7,"usa by subvariant"
"Omicron","BA.1","log_lag1_viral_load","lead2_viral_load",0.695040581934766,0.116302579505503,0.921435204515943,10,"usa by subvariant"
"Omicron","BA.1","log_hosp","lead2_viral_load",0.660598286653226,0.100568644323096,0.902741452125286,11,"usa by subvariant"
"Omicron","BA.1","log_inf","lead2_viral_load",0.898729093142128,0.648442117664121,0.973673354312013,11,"usa by subvariant"
"Omicron","BA.1","log_cases","lead2_viral_load",0.730042024328903,0.231574637930005,0.924882306027908,11,"usa by subvariant"
"Omicron","BA.1","inf_mean","lead3_viral_load",0.955151190882989,0.831968744612698,0.988591861553415,11,"usa by subvariant"
"Omicron","BA.1","daily_cases","lead3_viral_load",0.804570275639391,0.395643924108037,0.947260095313638,11,"usa by subvariant"
"Omicron","BA.1","inf_mean_7dts","lead3_viral_load",0.916807981752271,0.70424243057057,0.978524511919603,11,"usa by subvariant"
"Omicron","BA.1","daily_cases_7dts","lead3_viral_load",0.641247381608809,0.0672232016444613,0.896334434517946,11,"usa by subvariant"
